Number,Timestamp,fun,accident,parking,traffic,transit,all_transport,prayer,Riyadh,Saudi,all_local,MidEast,World,all_visitor,Labor,Visitor,Unmatched,category_total,user_total
1,Sunday January 3 2010 12 AM,12,6,6,5,9,26,24,211,52,263,14,19,33,3,36,77,62,299
2,Sunday January 3 2010 01 AM,12,1,5,3,5,14,14,130,39,169,9,5,14,2,16,55,40,185
3,Sunday January 3 2010 02 AM,2,1,1,4,5,11,11,64,34,98,15,4,19,4,23,46,24,121
4,Sunday January 3 2010 03 AM,3,0,1,2,3,6,6,52,26,78,14,4,18,3,21,33,15,99
5,Sunday January 3 2010 04 AM,2,0,3,4,1,8,4,26,20,46,3,1,4,1,5,21,14,51
6,Sunday January 3 2010 05 AM,6,1,2,2,8,13,24,61,17,78,7,2,9,0,9,57,43,87
7,Sunday January 3 2010 06 AM,34,0,4,16,7,27,26,194,21,215,2,5,7,2,9,44,87,224
8,Sunday January 3 2010 07 AM,34,1,2,5,18,26,71,392,83,475,6,9,15,5,20,86,131,495
9,Sunday January 3 2010 08 AM,31,0,4,9,35,48,63,407,65,472,6,15,21,8,29,74,142,501
10,Sunday January 3 2010 09 AM,26,0,2,4,37,43,70,325,50,375,11,14,25,6,31,90,139,406
11,Sunday January 3 2010 10 AM,35,1,2,6,12,21,53,283,42,325,5,24,29,3,32,70,109,357
12,Sunday January 3 2010 11 AM,24,0,1,0,5,6,32,245,44,289,3,17,20,5,25,50,62,314
13,Sunday January 3 2010 12 PM,26,1,4,3,7,15,30,292,48,340,11,24,35,1,36,72,71,376
14,Sunday January 3 2010 01 PM,35,2,3,0,15,20,26,253,44,297,10,16,26,10,36,58,81,333
15,Sunday January 3 2010 02 PM,29,1,2,3,7,13,29,243,59,302,10,14,24,7,31,81,71,333
16,Sunday January 3 2010 03 PM,24,5,1,3,7,16,14,188,47,235,8,11,19,10,29,64,54,264
17,Sunday January 3 2010 04 PM,23,0,3,7,8,18,15,275,55,330,5,24,29,6,35,58,56,365
18,Sunday January 3 2010 05 PM,36,2,3,7,7,19,27,247,56,303,23,34,57,4,61,62,82,364
19,Sunday January 3 2010 06 PM,36,1,6,8,8,23,26,294,61,355,7,45,52,10,62,121,85,417
20,Sunday January 3 2010 07 PM,38,1,3,1,10,15,15,323,78,401,5,52,57,5,62,77,68,463
21,Sunday January 3 2010 08 PM,77,0,6,10,24,40,31,453,96,549,10,43,53,12,65,145,148,614
22,Sunday January 3 2010 09 PM,49,0,4,3,11,18,33,418,67,485,8,56,64,10,74,111,100,559
23,Sunday January 3 2010 10 PM,41,2,10,5,12,29,15,391,70,461,8,43,51,7,58,125,85,519
24,Sunday January 3 2010 11 PM,24,1,4,4,9,18,34,268,55,323,1,53,54,5,59,94,76,382
25,Monday January 4 2010 12 AM,16,0,3,1,5,9,16,190,41,231,8,32,40,13,53,55,41,284
26,Monday January 4 2010 01 AM,9,0,4,2,5,11,15,208,42,250,3,3,6,6,12,66,35,262
27,Monday January 4 2010 02 AM,2,3,2,0,3,8,10,64,27,91,2,7,9,2,11,30,20,102
28,Monday January 4 2010 03 AM,3,1,1,0,2,4,7,37,23,60,1,5,6,2,8,37,14,68
29,Monday January 4 2010 04 AM,1,0,0,1,2,3,7,48,19,67,2,1,3,0,3,18,11,70
30,Monday January 4 2010 05 AM,8,0,3,2,0,5,17,111,20,131,0,4,4,0,4,61,30,135
31,Monday January 4 2010 06 AM,19,1,3,4,8,16,29,241,28,269,2,11,13,4,17,70,64,286
32,Monday January 4 2010 07 AM,37,1,5,5,17,28,72,407,69,476,5,6,11,7,18,71,137,494
33,Monday January 4 2010 08 AM,38,0,5,4,20,29,53,392,79,471,3,14,17,5,22,90,120,493
34,Monday January 4 2010 09 AM,49,2,2,4,22,30,47,424,47,471,4,18,22,11,33,106,126,504
35,Monday January 4 2010 10 AM,39,3,1,2,16,22,38,296,53,349,7,18,25,3,28,67,99,377
36,Monday January 4 2010 11 AM,30,0,3,3,14,20,26,247,40,287,3,12,15,6,21,60,76,308
37,Monday January 4 2010 12 PM,36,2,3,7,10,22,38,286,60,346,5,6,11,10,21,66,96,367
38,Monday January 4 2010 01 PM,27,0,5,3,13,21,23,259,59,318,7,8,15,7,22,97,71,340
39,Monday January 4 2010 02 PM,35,2,8,3,15,28,28,284,57,341,13,10,23,8,31,78,91,372
40,Monday January 4 2010 03 PM,22,1,5,1,9,16,34,213,70,283,6,17,23,6,29,55,72,312
41,Monday January 4 2010 04 PM,27,2,9,6,14,31,17,286,46,332,5,14,19,6,25,93,75,357
42,Monday January 4 2010 05 PM,38,0,4,10,13,27,26,277,57,334,4,22,26,6,32,89,91,366
43,Monday January 4 2010 06 PM,26,0,8,2,10,20,15,289,81,370,10,27,37,6,43,120,61,413
44,Monday January 4 2010 07 PM,55,2,4,7,16,29,26,376,53,429,12,29,41,6,47,116,110,476
